year	month	day	hour	min	sec	close hour	min	sec	open hour	min	sec	camb	css	flux
2014	8	5	20	36	29.409	19	49	33	19	48	30	44.614	43.082	-0.02132
2014	8	5	21	40	26.109	20	58	54	20	58	24	22.693	20.514	-0.03034
2014	8	5	22	44	33.609	22	2	54	22	2	23	28.929	22.523	-0.089159
2014	8	5	23	48	41.109	23	7	1	23	6	30	15.97	10.862	-0.0711
2014	8	6	0	52	37.809	0	11	5	0	10	34	15.98	14.164	-0.025266
2014	8	6	1	56	30.909	1	15	1	1	14	30	11.932	12.377	0.0061927
2014	8	6	3	0	18.609	2	18	50	2	18	20	13.986	7.1225	-0.095533
2014	8	6	4	4	7.209	3	1	35	3	0	51	0	21.31	0
2014	8	6	5	7	56.709	4	26	28	4	25	58	11.184	14.886	0.051518
2014	8	6	6	11	46.209	5	30	17	5	29	47	12.366	15.461	0.043076
2014	8	6	7	15	35.709	6	34	9	6	33	38	7.2833	7.0254	-0.0035904
2014	8	6	8	19	18.909	7	37	55	7	37	24	28.004	28.33	0.0045363
2014	8	6	9	23	2.109	8	41	38	8	41	7	25.83	25.023	-0.011236
2014	8	6	10	26	57.909	9	45	25	9	44	54	14.469	29.893	0.21468
2014	8	6	11	30	58.209	10	49	24	10	48	53	26.664	37.21	0.14678
2014	8	6	12	35	0.309	11	53	25	11	52	54	26.968	33.444	0.090137
2014	8	6	13	39	8.709	12	57	29	12	56	59	0.9587	1.8239	0
2014	8	6	14	43	16.209	14	1	38	14	1	7	1.8545	1.8917	0
2014	8	6	15	47	21.909	15	5	43	15	5	13	1.7717	1.8435	0
2014	8	6	16	51	26.709	16	9	49	16	9	18	0.51667	0.91449	0
2014	8	6	17	55	32.409	17	13	54	17	13	23	45.841	19.799	-0.36245
2014	8	6	18	59	38.109	18	17	57	18	17	27	48.086	32.539	-0.21639
2014	8	6	20	3	43.809	19	22	4	19	21	34	34.933	30.611	-0.060155
2014	8	6	21	7	53.109	20	26	12	20	25	41	21.083	39.902	0.26194
2014	8	6	22	12	0.609	21	30	22	21	29	51	12.7	12.13	-0.0079274
2014	8	6	23	16	6.309	22	34	28	22	33	57	10.067	10.408	0.0047344
2014	8	7	0	20	8.409	23	38	34	23	38	4	33.451	13.833	-0.27305
2014	8	7	1	24	2.409	0	42	32	0	42	2	25.123	11.659	-0.1874
2014	8	7	2	27	56.409	1	24	50	1	24	30	0	20.184	0
2014	8	7	3	31	47.709	2	50	19	2	49	48	11.07	6.7667	-0.059893
2014	8	7	4	35	35.409	3	54	10	3	53	40	7.5848	8.7449	0.016147
2014	8	7	5	39	25.809	4	57	58	4	57	27	7.9328	10.942	0.041883
2014	8	7	6	43	15.309	5	41	31	5	41	7	0	12.157	0
2014	8	7	7	47	8.409	7	5	38	7	5	8	14.725	9.65	-0.070631
2014	8	7	8	51	0.609	8	9	30	8	8	59	14.08	11.796	-0.031801
2014	8	7	9	54	53.709	9	13	22	9	12	51	19.055	29.116	0.14004
2014	8	7	10	58	58.509	10	17	20	10	16	49	22.228	35.039	0.17831
2014	8	7	12	3	2.409	11	21	23	11	20	53	20.626	30.727	0.14059
2014	8	7	13	7	7.209	12	25	28	12	24	58	28.754	37.979	0.1284
2014	8	7	14	11	15.609	13	29	37	13	29	7	23.822	46.554	0.3164
2014	8	7	15	15	19.509	14	33	43	14	33	12	45.75	27.67	-0.25165
2014	8	7	16	19	26.109	15	37	48	15	37	17	52.163	30.193	-0.30579
2014	8	7	17	23	34.509	16	41	55	16	41	25	49.837	33.457	-0.22799
2014	8	7	18	27	42.909	17	46	4	17	45	34	36.503	36.686	0.0025517
2014	8	7	19	31	49.509	18	50	10	18	49	40	24.426	31.428	0.097449
2014	8	7	20	35	57.909	19	54	17	19	53	46	19.735	31.924	0.16965
2014	8	7	21	40	9.909	20	58	28	20	57	57	18.084	21.562	0.048409
2014	8	7	22	44	23.709	22	2	39	22	2	9	25.951	20.991	-0.069037
2014	8	7	23	48	32.109	23	6	52	23	6	21	28.817	20.204	-0.11989
2014	8	8	0	52	28.809	0	10	57	0	10	26	25.578	14.868	-0.14906
2014	8	8	1	56	22.809	1	14	50	1	14	20	17.602	10.699	-0.096077
2014	8	8	3	0	15.909	2	18	44	2	18	14	16.199	2.6319	-0.18883
2014	8	8	4	4	8.109	3	22	37	3	22	7	15.246	10.673	-0.063656
2014	8	8	5	8	1.209	4	26	30	4	26	0	9.4761	7.8007	-0.023318
2014	8	8	6	11	52.509	5	30	23	5	29	53	4.5167	7.2754	0
2014	8	8	7	15	42.909	6	34	15	6	33	45	5.5788	7.7568	0.030315
2014	8	8	8	19	30.609	7	38	4	7	37	33	11.772	11.411	-0.0050264
2014	8	8	9	23	21.909	8	41	53	8	41	22	31.817	23.083	-0.12155
2014	8	8	10	27	21.309	9	45	46	9	45	16	38.426	33.634	-0.066697
2014	8	8	11	31	30.609	10	49	50	10	49	19	52.974	37.578	-0.21429
2014	8	8	12	2	36.309	11	54	0	11	53	30	52.099	34.812	-0.24061
2014	8	8	14	56	49.397	14	15	25	14	14	54	0.66136	1.2273	0
2014	8	8	16	0	36.197	15	19	9	15	18	38	0.8697	1.5879	0
2014	8	8	17	4	20.297	16	22	55	16	22	24	1.1311	1.3038	0
2014	8	8	18	8	4.397	17	26	40	17	26	9	1.1788	1.1386	0
2014	8	8	19	11	49.397	18	30	24	18	29	53	0.59394	1.1424	0
2014	8	8	20	15	39.797	19	34	10	19	33	40	19.692	25.323	0.078375
2014	8	8	21	19	33.797	20	38	2	20	37	32	12.235	9.3689	-0.039889
2014	8	8	22	23	30.497	21	41	58	21	41	28	17.548	13.158	-0.061107
2014	8	8	23	27	37.997	22	45	58	22	45	28	22.247	12.208	-0.13973
2014	8	9	0	31	50.897	23	50	9	23	49	38	13.464	11.717	-0.024315
2014	8	9	1	36	2.897	0	54	18	0	53	48	15.969	22.064	0.084829
2014	8	9	2	40	8.597	1	58	29	1	57	59	20.571	29.224	0.12044
2014	8	9	3	44	18.797	3	2	37	3	2	7	37.023	27.752	-0.12905
2014	8	9	4	48	27.197	4	6	46	4	6	15	37.109	23.064	-0.19549
2014	8	9	5	52	38.297	5	10	55	5	10	24	41.99	13.255	-0.39995
2014	8	9	6	56	48.497	6	15	6	6	14	35	18.625	18.324	-0.0041837
2014	8	9	8	0	59.597	7	19	15	7	18	45	13.448	20.259	0.094803
2014	8	9	9	5	4.397	8	23	25	8	22	55	20.498	27.585	0.098642
2014	8	9	10	9	13.697	9	27	33	9	27	3	35.515	40.984	0.076118
2014	8	9	11	13	33.797	10	31	47	10	31	16	46.73	37.059	-0.1346
2014	8	9	12	17	50.297	11	36	6	11	35	36	34.275	51.585	0.24093
2014	8	9	13	22	8.597	12	40	23	12	39	53	36.459	31.32	-0.071523
2014	8	9	14	26	24.197	13	44	41	13	44	10	1.3886	1.7697	0
2014	8	9	15	30	39.797	14	48	55	14	48	25	1.3265	1.2402	0
2014	8	9	16	34	52.697	15	53	9	15	52	39	32.113	47.26	0.21082
2014	8	9	17	39	11.897	16	57	25	16	56	55	32.524	27.25	-0.073401
2014	8	9	18	43	29.297	18	1	43	18	1	12	51.311	33.934	-0.24186
2014	8	9	19	47	48.497	19	6	0	19	5	29	42.574	31.267	-0.15738
2014	8	9	20	52	9.497	20	10	20	20	9	49	14.474	11.181	-0.045836
2014	8	9	21	56	27.797	21	14	40	21	14	9	40.254	30.311	-0.13839
2014	8	9	23	0	46.997	22	18	58	22	18	27	41.245	11.801	-0.40982
2014	8	10	0	5	4.397	23	23	17	23	22	47	16.012	21.435	0.075476
2014	8	10	1	9	21.797	0	27	36	0	27	5	29.364	20.809	-0.11908
2014	8	10	2	13	40.997	1	31	54	1	31	23	26.797	21.48	-0.074
2014	8	10	3	18	1.997	2	36	14	2	35	44	15.33	23.605	0.11517
2014	8	10	4	22	16.697	3	40	33	3	40	2	20.227	20.298	0.00099116
2014	8	10	5	26	30.497	4	44	45	4	44	15	30.677	11.286	-0.26989
2014	8	10	6	30	44.297	5	49	1	5	48	31	23.818	15.833	-0.11114
2014	8	10	7	34	56.297	6	53	16	6	52	45	14.016	19.225	0.072502
2014	8	10	8	39	6.497	7	57	25	7	56	55	17.636	40.347	0.3161
2014	8	10	9	43	21.197	9	1	37	9	1	6	43.317	48.145	0.067207
2014	8	10	10	47	44.897	10	5	52	10	5	21	55.431	50.42	-0.06974
2014	8	10	11	52	16.697	11	10	17	11	9	47	28.061	44.835	0.23346
2014	8	10	12	56	52.997	12	14	52	12	14	22	60.736	39.202	-0.29972
2014	8	10	14	1	22.997	13	19	28	13	18	57	34.346	48.568	0.19795
2014	8	10	15	5	48.497	14	23	57	14	23	27	68.152	64.765	-0.047151
2014	8	10	16	10	19.397	15	28	25	15	27	54	45.4	69.305	0.33271
2014	8	10	17	14	46.697	16	32	55	16	32	24	60.655	40.05	-0.28678
2014	8	10	18	19	12.197	17	37	22	17	36	51	28.952	41.007	0.16778
2014	8	10	19	23	41.297	18	41	47	18	41	17	58.702	42.67	-0.22315
2014	8	10	20	28	13.997	19	46	18	19	45	47	20.148	14.48	-0.078892
2014	8	10	21	32	49.397	20	50	53	20	50	22	40.727	17.723	-0.32019
2014	8	10	22	37	23.897	21	55	28	21	54	57	18.39	27.458	0.12621
2014	8	10	23	41	56.597	23	0	1	22	59	30	25.114	22.614	-0.034796
2014	8	11	0	46	20.297	0	4	33	0	4	2	21.036	20.718	-0.0044286
2014	8	11	1	50	40.397	1	8	53	1	8	23	27.88	31.5	0.050391
2014	8	11	2	54	59.597	2	13	11	2	12	40	7.3568	7.2652	-0.0012759
2014	8	11	3	59	19.697	3	17	30	3	17	0	17.408	9.2432	-0.11364
2014	8	11	5	3	39.797	4	21	50	4	21	20	24.531	6.9417	-0.24482
2014	8	11	6	8	0.797	5	26	12	5	25	41	11.638	12.688	0.014614
2014	8	11	7	12	17.297	6	30	33	6	30	2	11.078	9.3462	-0.024097
2014	8	11	8	16	33.797	7	34	50	7	34	19	28.631	18.645	-0.13899
2014	8	11	9	20	52.997	8	39	6	8	38	36	21.983	21.767	-0.003012
2014	8	11	10	25	19.397	9	43	26	9	42	56	19.164	22.386	0.044851
2014	8	11	11	30	0.197	10	47	58	10	47	28	52.277	35.741	-0.23015
2014	8	11	12	34	43.697	11	52	43	11	52	13	60.998	37.438	-0.32792
2014	8	11	13	39	31.697	12	57	26	12	56	56	30.163	39.089	0.12424
2014	8	11	14	44	21.497	14	2	14	14	1	44	34.086	53.639	0.27214
2014	8	11	15	49	8.597	15	7	4	15	6	34	40.567	59.72	0.26657
2014	8	11	16	53	46.697	16	11	45	16	11	15	63.608	46.84	-0.23339
2014	8	11	17	58	24.797	17	16	24	17	15	54	35.006	53.44	0.25657
2014	8	11	19	2	59.297	18	21	1	18	20	30	58.532	53.24	-0.073652
2014	8	11	20	7	35.597	19	25	37	19	25	7	61.148	30.748	-0.42311
2014	8	11	21	12	18.197	20	30	16	20	29	45	3.8159	12.741	0
2014	8	11	22	16	54.497	21	34	57	21	34	27	10.734	26.993	0.2263
2014	8	11	23	21	34.397	22	39	34	22	39	4	17.859	24.58	0.093544
2014	8	12	0	26	10.697	23	44	15	23	43	44	12.552	27.327	0.20564
2014	8	12	1	30	38.897	0	48	46	0	48	15	13.314	21.008	0.1071
2014	8	12	2	35	8.897	1	53	15	1	52	45	5.4318	14.677	0.12868
2014	8	12	3	39	43.397	2	57	47	2	57	16	9.9409	16.923	0.097176
2014	8	12	4	44	20.597	4	2	22	4	1	51	7.4727	10.991	0.048968
2014	8	12	5	49	0.497	5	6	58	5	6	28	17.314	10.92	-0.088983
2014	8	12	6	53	14.297	6	11	29	6	10	59	9.0023	8.9	-0.0014235
2014	8	12	7	57	19.997	7	15	42	7	15	11	14.268	14.948	0.0094582
2014	8	12	9	1	18.497	8	19	43	8	19	13	26.252	32.541	0.087528
2014	8	12	9	54	40.697	9	23	43	9	23	12	29.207	36.671	0.10389
